description,category,transaction_type
RayBan sunglasses eyewear store subscription,Shopping,expense
Taco Bell tacos via UPI,Food,expense
Car service periodic maintenance oil change store,Transport,expense
Blood test lab report charges purchase,Health,expense
Standup comedy show tickets order,Entertainment,expense
Titan wrist watch purchase purchase,Shopping,expense
Amazon online shopping headphones purchase online,Shopping,expense
Bike motorcycle wheel servicing card payment,Transport,expense
Pizza Hut dinner with family,Food,expense
Blinkit instant grocery delivery via UPI,Food,expense
High speed fiber broadband wifi bill payment,Bills,expense
Gaming tournament entry ticket bill,Entertainment,expense
Home insurance annual premium,Bills,expense
Me-O cat food creamy treats salmon purchase,Pets,expense
Drools dog food pet treats puppy snacks online,Pets,expense
Car service periodic maintenance oil change via UPI,Transport,expense
Physics chemistry study material,Education,expense
Bank high yield savings account interest payment,Income,income
Shell petrol pump fuel fill via UPI,Transport,expense
Dog grooming shampoo trimming spa order,Pets,expense
Shopping mall department store order,Shopping,expense
AWS certification exam voucher payment,Education,expense
Amazon Prime Video annual subscription order,Entertainment,expense
Tata Power electricity bill charge,Bills,expense
Steam PC video game digital download store,Entertainment,expense
Kitchen non stick pan cookware payment,Shopping,expense
Bike motorcycle wheel servicing card payment,Transport,expense
Titan wrist watch purchase card payment,Shopping,expense
Kindle books self improvement reading card payment,Education,expense
Bus ticket reservation online card payment,Transport,expense
Netflix 4K UHD monthly subscription order,Entertainment,expense
Furniture wooden study desk chair payment,Shopping,expense
Dominos pizza delivery,Food,expense
Amazon Prime Video annual subscription order,Entertainment,expense
Apple iPad tablet and accessories charge,Shopping,expense
Bank high yield savings account interest,Income,income
Disney Hotstar VIP streaming order,Entertainment,expense
Vet animal clinic surgery medicine doctor order,Pets,expense
House monthly rent payment to landlord payment,Bills,expense
Hospital health full body pathology test via UPI,Health,expense
Part time consulting project income payment,Income,income
IRCTC train ticket booking reservation online,Transport,expense
Zomato food delivery expense,Food,expense
Pharmacy medicine tablets painkiller order,Health,expense
Purina pet food supercoat pro plan order,Pets,expense
Kitchen non stick pan cookware card payment,Shopping,expense
Airport shuttle express bus via UPI,Transport,expense
Zara cotton formal shirt payment,Shopping,expense
Pet boarding day care kennel charges dog walking purchase,Pets,expense
Vet animal clinic surgery medicine doctor,Pets,expense
Standup comedy show tickets store,Entertainment,expense
University college tuition exam fee order,Education,expense
Diesel fuel full tank for car bill,Transport,expense
Taco Bell tacos bill,Food,expense
Indian oil corporation petrol card payment,Transport,expense
BookMyShow concert event ticket,Entertainment,expense
Dog grooming shampoo trimming spa bill,Pets,expense
Petrol fuel HPCL station refill order,Transport,expense
Public speaking certification workshop charge,Education,expense
Train ticket sleeper class booking expense,Transport,expense
Airport parking lot fee ticket via UPI,Transport,expense
Jio fiber optic broadband internet bill bill,Bills,expense
Pet shop puppy food treats snacks bones via UPI,Pets,expense
Cashback rewards reward points bonus order,Income,income
Leather wallet and belts purchase,Shopping,expense
Bus ticket reservation online,Transport,expense
Shopping mall department store subscription,Shopping,expense
Pet supplies cat litter leash collar harness,Pets,expense
Taxi cab rental city tour payment,Transport,expense
Physiotherapy treatment session card payment,Health,expense
Restaurant lunch with colleagues online,Food,expense
Aquarium fish food pellets pet care aquarium tank,Pets,expense
Part time consulting project income store,Income,income
Zepto grocery order milk bread payment,Food,expense
Royal Canin dog puppy dry food breed via UPI,Pets,expense
Electricity power utility monthly bill order,Bills,expense
Gourmet cheese and pasta,Food,expense
Pedigree adult dog meat gravy chicken rice subscription,Pets,expense
Municipal water supply pipeline bill card payment,Bills,expense
Burger King whopper meal via UPI,Food,expense
Bharat Petroleum diesel fill expense,Transport,expense
Language learning app subscription via UPI,Education,expense
Amazon Prime Video annual subscription order,Entertainment,expense
Freelance website UI design project payout expense,Income,income
Amazon Prime Video annual subscription charge,Entertainment,expense
Yoga and meditation session fees order,Health,expense
Cat food whiskas tuna wet food expense,Pets,expense
Jio fiber optic broadband internet bill payment,Bills,expense
Municipal water supply pipeline bill charge,Bills,expense
School stationery pens notebooks supplies store,Education,expense
Aquarium fish food pellets pet care aquarium tank,Pets,expense
Apple iPad tablet and accessories payment,Shopping,expense
Furniture wooden study desk chair bill,Shopping,expense
Myntra fashionable jacket clothes order,Shopping,expense
Vet animal clinic surgery medicine doctor online,Pets,expense
Kindle books self improvement reading via UPI,Education,expense
University college tuition exam fee card payment,Education,expense
Metro card smart card recharge online,Transport,expense
Subway veggie sub sandwich order,Food,expense
Bakery fresh cake and pastries store,Food,expense
Supermarket grocery fruits vegetables order,Food,expense
Home insurance annual premium purchase,Bills,expense
Hospital health full body pathology test bill,Health,expense
Leather wallet and belts payment,Shopping,expense
Uber cab ride to airport charge,Transport,expense
Monthly salary credited by employer payment,Income,income
Cashback rewards reward points bonus purchase,Income,income
Petrol fuel HPCL station refill,Transport,expense
Kitchen non stick pan cookware payment,Shopping,expense
Blinkit instant grocery delivery payment,Food,expense
Pet shop puppy food treats snacks bones bill,Pets,expense
Local tea and snacks stall,Food,expense
Bharat Petroleum diesel fill order,Transport,expense
Shopping mall department store bill,Shopping,expense
Decathlon sports gym equipment purchase,Shopping,expense
Uniqlo winter wear jacket,Shopping,expense
Indigo flight airline ticket travel expense,Transport,expense
Shell petrol pump fuel fill online,Transport,expense
University college tuition exam fee card payment,Education,expense
Metro card smart card recharge online,Transport,expense
Part time consulting project income card payment,Income,income
Veterinary hospital medicine for dog puppy,Pets,expense
Weekend club pub lounge drinks charge,Entertainment,expense
Airport shuttle express bus online,Transport,expense
Computer science algorithms textbook store,Education,expense
Airport parking lot fee ticket,Transport,expense
Bank high yield savings account interest expense,Income,income
University college tuition exam fee order,Education,expense
Jio fiber optic broadband internet bill expense,Bills,expense
Purina pet food supercoat pro plan via UPI,Pets,expense
Flipkart electronics smart watch,Shopping,expense
FASTag toll plaza electronic recharge,Transport,expense
Taxi cab rental city tour bill,Transport,expense
Swiggy dinner order store,Food,expense
Swiggy dinner order expense,Food,expense
Diesel fuel full tank for car store,Transport,expense
Indigo flight airline ticket travel,Transport,expense
Mutual fund stock market dividend via UPI,Income,income
Taco Bell tacos,Food,expense
Dentist dental clinic checkup teeth cleaning online,Health,expense
Bird cage seeds pet care supplies food online,Pets,expense
Metro card smart card recharge,Transport,expense
Bird cage seeds pet care supplies food bill,Pets,expense
Veterinary hospital medicine for dog puppy expense,Pets,expense
Kitchen non stick pan cookware,Shopping,expense
School stationery pens notebooks supplies via UPI,Education,expense
Amazon online shopping headphones purchase purchase,Shopping,expense
McDonalds burger meal payment,Food,expense
High speed fiber broadband wifi bill purchase,Bills,expense
AWS certification exam voucher subscription,Education,expense
Drools dog food pet treats puppy snacks store,Pets,expense
Credit card annual membership fee bill bill,Bills,expense
Freelance technical writing payout expense,Income,income
Spectacles optical lenses eye checkup expense,Health,expense
Dine in bill Chinese food restaurant subscription,Food,expense
Kindle books self improvement reading,Education,expense
Gourmet cheese and pasta store,Food,expense
Indigo flight airline ticket travel online,Transport,expense
Cashback rewards reward points bonus order,Income,income
Udemy online web development course purchase,Education,expense
Ola cab ride home from office purchase,Transport,expense
Pharmacy medicine tablets painkiller subscription,Health,expense
Zomato food delivery charge,Food,expense
Myntra fashionable jacket clothes online,Shopping,expense
University college tuition exam fee order,Education,expense
Uber cab ride to airport,Transport,expense
Blood test lab report charges order,Health,expense
Mobile phone prepaid recharge pack,Bills,expense
Hospital health full body pathology test store,Health,expense
Rapido bike taxi trip store,Transport,expense
Petrol fuel HPCL station refill online,Transport,expense
Car service periodic maintenance oil change card payment,Transport,expense
Kindle books self improvement reading purchase,Education,expense
Drools dog food pet treats puppy snacks bill,Pets,expense
Adani electricity bill payment order,Bills,expense
Bakery fresh cake and pastries card payment,Food,expense
Veterinary hospital medicine for dog puppy online,Pets,expense
Consulting advisory advisory fee credit subscription,Income,income
Taco Bell tacos via UPI,Food,expense
BookMyShow concert event ticket payment,Entertainment,expense
Apollo pharmacy multivitamins supplements online,Health,expense
Dine in bill Chinese food restaurant card payment,Food,expense
Coursera AI machine learning specialization store,Education,expense
PlayStation Plus yearly subscription online,Entertainment,expense
Subway veggie sub sandwich bill,Food,expense
Dog grooming shampoo trimming spa bill,Pets,expense
Ice cream parlour dessert waffle via UPI,Food,expense
Part time consulting project income expense,Income,income
Amazon Prime Video annual subscription,Entertainment,expense
Upwork freelance software contract bill,Income,income
Dine in bill Chinese food restaurant,Food,expense
Part time consulting project income store,Income,income
Flipkart electronics smart watch online,Shopping,expense
Pet boarding day care kennel charges dog walking subscription,Pets,expense
Flipkart electronics smart watch online,Shopping,expense
Dentist dental clinic checkup teeth cleaning purchase,Health,expense
Dentist dental clinic checkup teeth cleaning subscription,Health,expense
Freelance website UI design project payout card payment,Income,income
Rapido bike taxi trip,Transport,expense
Whiskas cat food ocean fish pouch,Pets,expense
Biryani point dinner party payment,Food,expense
Supermarket grocery fruits vegetables via UPI,Food,expense
Subway veggie sub sandwich bill,Food,expense
Gourmet cheese and pasta payment,Food,expense
Physics chemistry study material charge,Education,expense
Udemy online web development course online,Education,expense
Bharat Petroleum diesel fill,Transport,expense
Local tea and snacks stall bill,Food,expense
Pet supplies cat litter leash collar harness charge,Pets,expense
Doctor clinic general consultation fee online,Health,expense
Blinkit instant grocery delivery card payment,Food,expense
Uniqlo winter wear jacket store,Shopping,expense
Freelance website UI design project payout subscription,Income,income
BookMyShow concert event ticket expense,Entertainment,expense
McDonalds burger meal purchase,Food,expense
Zepto grocery order milk bread expense,Food,expense
Whiskas cat food ocean fish pouch payment,Pets,expense
Physics chemistry study material purchase,Education,expense
LPG cooking gas cylinder refill charge,Bills,expense
Credit card annual membership fee bill subscription,Bills,expense
KFC fried chicken bucket bill,Food,expense
Freelance technical writing payout expense,Income,income
Mutual fund stock market dividend,Income,income
Bus ticket reservation online order,Transport,expense
House monthly rent payment to landlord,Bills,expense
Municipal water supply pipeline bill subscription,Bills,expense
Doctor clinic general consultation fee payment,Health,expense
PlayStation Plus yearly subscription charge,Entertainment,expense
Jio fiber optic broadband internet bill order,Bills,expense
Dominos pizza delivery purchase,Food,expense
Pet supplies cat litter leash collar harness charge,Pets,expense
Consulting advisory advisory fee credit bill,Income,income
Home insurance annual premium order,Bills,expense
Hospital health full body pathology test order,Health,expense
Uber auto ride daily commute subscription,Transport,expense
MedPlus online medicine order online,Health,expense
Physics chemistry study material online,Education,expense
Leather wallet and belts charge,Shopping,expense
Bird cage seeds pet care supplies food purchase,Pets,expense
Home decor wall painting frames payment,Shopping,expense
